TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
ELLIS-1851:NA,NA,NA,NA,EDUC TREAT,1851,1851,William_Ellis,1800,m,51,NA,NA,NA,NA,NA,9068,2694,0,1,1959,1217,0,1,43066,18975,0,3,306
FALLOWFIELD-1791:NA,NA,NA,NA,HANDBOOK_OTHER,1791,1791,John_Fallowfield,NA,m,NA,NA,NA,NA,NA,NA,8890,2919,73,5,1520,932,26,4,38654,16622,480,20,500
FERGUSON-1756:NA,NA,NA,NA,SCIENCE_OTHER,1756,1756,James_Ferguson,1710,m,46,NA,NA,NA,NA,NA,8925,2966,106,7,1392,873,45,5,37117,15754,588,21,310
FIELDING-1735:NA,NA,NA,NA,DRAMA COMEDY,1735,1735,Henry_Fielding,1707,m,28,NA,NA,NA,NA,NA,10281,2705,850,1,1419,881,44,1,39375,14608,3710,6,933
FIELDING-1754:NA,NA,NA,NA,TRAVELOGUE,1754,1754,Henry_Fielding,1707,m,47,NA,NA,NA,NA,NA,10144,3003,150,18,2253,1477,92,15,44249,18668,934,89,357
FIELDING2-1744:NA,NA,NA,NA,FICTION,1744,1744,Sarah_Fielding,1710,f,34,NA,NA,NA,NA,NA,9514,2767,144,4,1623,1077,19,3,39164,16211,729,16,431
FORSTER-1827:NA,NA,NA,NA,HANDBOOK_OTHER,1825,1825,Thomas Furley_Forster,1761,m,64,NA,NA,NA,NA,NA,9059,3106,203,77,2109,1301,122,57,42013,19153,1212,498,513
FORSTER2-1910:NA,NA,NA,NA,FICTION,1910,1910,Edward Morgan_Forster,1879,m,31,NA,NA,NA,NA,NA,9534,2875,500,4,2200,1414,111,4,40855,16546,2990,23,1021
FORSTER2-191X:NA,NA,NA,NA,FICTION,1911,1911,Edward Morgan_Forster,1879,m,32,NA,NA,NA,NA,NA,9534,2581,521,53,2146,1196,284,41,39436,14028,3173,241,885
GARRICK-1759:NA,NA,NA,NA,DRAMA COMEDY,1759,1759,David_Garrick,1717,m,42,NA,NA,NA,NA,NA,9174,2371,817,44,1497,931,33,37,37775,13441,4615,255,913
